nh,param_bound,run,val_nll,auc,time_sec,status
2,1,1,5.0364,0.899,57.7,ok
2,1,2,5.0369,0.8988,60.8,ok
2,1,3,5.0371,0.8986,57.5,ok
2,1,4,5.0399,0.8984,58.5,ok
2,1,5,5.0346,0.8989,59.1,ok
2,2,1,5.0371,0.8988,60.4,ok
2,2,2,5.0197,0.8999,57.5,ok
2,2,3,5.037,0.8988,60.0,ok
2,2,4,5.0204,0.8996,58.0,ok
2,2,5,5.026,0.8997,59.6,ok
2,3,1,5.0371,0.8988,59.8,ok
2,3,2,5.037,0.8988,58.9,ok
2,3,3,5.0373,0.8987,61.4,ok
2,3,4,5.0324,0.8982,60.4,ok
2,3,5,5.0384,0.8986,58.1,ok
2,4,1,5.0253,0.8996,59.7,ok
2,4,2,5.0222,0.8976,58.8,ok
2,4,3,5.0087,0.8992,59.1,ok
2,4,4,5.0329,0.8979,62.1,ok
2,4,5,5.0333,0.8989,57.6,ok
2,5,1,4.9642,0.9035,59.4,ok
2,5,2,5.037,0.8988,60.7,ok
2,5,3,4.9688,0.9023,58.5,ok
2,5,4,5.0371,0.8988,61.7,ok
2,5,5,5.0372,0.8989,60.4,ok
2,6,1,4.8293,0.9079,58.3,ok
2,6,2,5.0369,0.8988,60.2,ok
2,6,3,4.9539,0.9057,60.7,ok
2,6,4,4.9181,0.9041,59.3,ok
2,6,5,4.91,0.9026,61.1,ok
2,7,1,5.0376,0.8988,68.5,ok
2,7,2,5.0377,0.8987,59.7,ok
2,7,3,4.9792,0.9007,58.4,ok
2,7,4,4.8772,0.8993,61.3,ok
2,7,5,5.0387,0.8986,63.0,ok
2,8,1,5.0095,0.8996,63.2,ok
2,8,2,4.9597,0.897,61.5,ok
2,8,3,5.0382,0.8985,62.6,ok
2,8,4,4.8281,0.9048,60.7,ok
2,8,5,5.0362,0.8988,65.0,ok
2,9,1,4.7993,0.906,64.7,ok
2,9,2,5.0368,0.8988,63.3,ok
2,9,3,4.799,0.9076,61.5,ok
2,9,4,4.7729,0.9096,71.6,ok
2,9,5,5.0395,0.8986,60.4,ok
2,10,1,4.8863,0.9083,80.8,ok
2,10,2,5.0377,0.8981,68.1,ok
2,10,3,4.7635,0.9119,64.4,ok
2,10,4,4.8271,0.9054,62.3,ok
2,10,5,4.5367,0.9118,67.9,ok
2,11,1,4.3409,0.9182,65.2,ok
2,11,2,4.7229,0.9081,67.2,ok
2,11,3,4.6871,0.9078,65.5,ok
2,11,4,4.8227,0.9166,68.3,ok
2,11,5,4.6799,0.9127,65.5,ok
2,12,1,5.0347,0.899,66.1,ok
2,12,2,4.6766,0.9127,69.8,ok
2,12,3,4.7221,0.912,101.1,ok
2,12,4,4.6693,0.9147,65.1,ok
2,12,5,4.2771,0.9241,77.5,ok
2,13,1,4.6649,0.9159,93.9,ok
2,13,2,4.6227,0.9187,91.5,ok
2,13,3,4.4074,0.9078,71.1,ok
2,13,4,5.0173,0.8998,62.1,ok
2,13,5,4.6727,0.9074,73.4,ok
2,14,1,4.7153,0.9078,88.8,ok
2,14,2,4.6241,0.9142,82.7,ok
2,14,3,4.8655,0.9082,66.7,ok
2,14,4,4.2563,0.9227,136.6,ok
2,14,5,5.0408,0.8957,70.3,ok
2,15,1,5.0332,0.8928,90.1,ok
2,15,2,4.9938,0.9005,72.5,ok
2,15,3,4.1677,0.9206,110.5,ok
2,15,4,4.3227,0.9244,115.8,ok
2,15,5,4.7352,0.9139,88.1,ok
3,1,1,5.0336,0.8987,276.3,ok
3,1,2,5.0194,0.9001,104.4,ok
3,1,3,5.0397,0.8988,93.0,ok
3,1,4,5.0368,0.8989,92.0,ok
3,1,5,5.0358,0.8988,113.7,ok
3,2,1,5.0436,0.8937,92.3,ok
3,2,2,5.0368,0.8989,91.9,ok
3,2,3,5.0238,0.8996,94.2,ok
3,2,4,5.0374,0.8988,104.6,ok
3,2,5,5.0371,0.8991,95.7,ok
3,3,1,5.0361,0.8986,112.5,ok
3,3,2,5.0378,0.8988,102.5,ok
3,3,3,5.0368,0.8987,101.8,ok
3,3,4,5.0221,0.8963,93.2,ok
3,3,5,5.0348,0.8975,99.4,ok
3,4,1,5.0395,0.8974,100.1,ok
3,4,2,5.0357,0.8992,109.0,ok
3,4,3,5.0334,0.8979,101.2,ok
3,4,4,4.9851,0.9013,94.6,ok
3,4,5,5.0358,0.899,110.0,ok
3,5,1,4.9662,0.9009,97.2,ok
3,5,2,5.0168,0.8984,94.5,ok
3,5,3,5.0382,0.8985,105.7,ok
3,5,4,4.9844,0.8996,95.2,ok
3,5,5,5.0382,0.8988,104.2,ok
3,6,1,4.9791,0.8988,89.5,ok
3,6,2,5.0002,0.8997,98.2,ok
3,6,3,4.8722,0.9036,136.9,ok
3,6,4,4.9677,0.8967,100.5,ok
3,6,5,5.0075,0.9028,99.8,ok
3,7,1,5.0398,0.8982,115.7,ok
3,7,2,4.6063,0.9096,78.4,ok
3,7,3,4.9993,0.9029,94.1,ok
3,7,4,4.8712,0.8995,92.7,ok
3,7,5,4.8963,0.9013,102.3,ok
3,8,1,4.7527,0.9154,138.8,ok
3,8,2,4.6496,0.9125,81.8,ok
3,8,3,4.4678,0.9148,87.8,ok
3,8,4,4.496,0.9185,85.5,ok
3,8,5,4.6488,0.9085,86.7,ok
3,9,1,4.8718,0.8997,87.0,ok
3,9,2,5.0261,0.8992,93.7,ok
3,9,3,4.4809,0.9204,93.1,ok
3,9,4,4.6108,0.9112,87.8,ok
3,9,5,5.0209,0.8988,98.5,ok
3,10,1,4.7328,0.9051,95.4,ok
3,10,2,4.8281,0.9051,90.1,ok
3,10,3,5.0327,0.9012,95.5,ok
3,10,4,4.6238,0.9054,122.9,ok
3,10,5,5.0079,0.8964,95.9,ok
3,11,1,4.437,0.9188,109.4,ok
3,11,2,4.9915,0.8791,92.1,ok
3,11,3,5.0412,0.8984,99.0,ok
3,11,4,4.684,0.9005,96.3,ok
3,11,5,4.7997,0.9075,97.5,ok
3,12,1,4.4075,0.9151,106.9,ok
3,12,2,4.3646,0.9085,94.7,ok
3,12,3,4.4335,0.92,98.7,ok
3,12,4,4.4206,0.9241,200.4,ok
3,12,5,4.5929,0.9173,122.8,ok
3,13,1,4.8242,0.9097,140.6,ok
3,13,2,4.3178,0.9149,291.6,ok
3,13,3,4.1226,0.9269,134.3,ok
3,13,4,5.0784,0.8935,247.7,ok
3,13,5,4.8667,0.8986,199.2,ok
3,14,1,4.1553,0.9159,365.1,ok
3,14,2,4.8085,0.9073,259.0,ok
1,1,1,5.0371,0.8988,46.4,ok
1,1,2,5.0264,0.8994,46.2,ok
1,1,3,5.0371,0.8988,47.4,ok
1,1,4,5.0371,0.8988,47.2,ok
1,1,5,5.0323,0.8991,46.8,ok
1,2,1,5.0335,0.8984,46.5,ok
1,2,2,5.0371,0.8988,46.6,ok
1,2,3,5.0371,0.8987,46.1,ok
1,2,4,5.0371,0.8988,47.2,ok
1,2,5,5.0371,0.8988,45.4,ok
1,3,1,5.0369,0.8988,46.7,ok
1,3,2,5.0371,0.8988,46.3,ok
1,3,3,5.0374,0.8988,47.1,ok
1,3,4,5.0371,0.8988,48.7,ok
1,3,5,5.0371,0.8988,48.5,ok
1,4,1,5.0131,0.8995,46.5,ok
1,4,2,5.0371,0.8988,47.5,ok
1,4,3,5.0189,0.8987,48.1,ok
1,4,4,5.0367,0.8989,48.3,ok
1,4,5,5.051,0.8963,47.9,ok
1,5,1,5.0371,0.8988,49.3,ok
1,5,2,5.037,0.8988,49.4,ok
1,5,3,4.9737,0.9023,48.6,ok
1,5,4,5.0379,0.8988,48.7,ok
1,5,5,5.0367,0.8989,48.2,ok
1,6,1,4.9833,0.8976,49.2,ok
1,6,2,5.0376,0.8987,47.7,ok
1,6,3,5.0371,0.8988,48.6,ok
1,6,4,4.9232,0.9048,48.0,ok
1,6,5,5.0369,0.8991,48.7,ok
1,7,1,5.0422,0.8993,48.1,ok
1,7,2,5.0367,0.8988,49.6,ok
1,7,3,5.0366,0.8989,48.5,ok
1,7,4,5.0368,0.8987,50.1,ok
1,7,5,5.037,0.8988,50.3,ok
1,8,1,4.8173,0.9082,50.5,ok
1,8,2,4.8402,0.9021,49.4,ok
1,8,3,5.0368,0.8988,49.4,ok
1,8,4,5.0366,0.8988,50.8,ok
1,8,5,4.8486,0.9042,48.4,ok
1,9,1,4.7995,0.9054,51.0,ok
1,9,2,4.7894,0.902,51.9,ok
1,9,3,5.0368,0.8989,53.2,ok
1,9,4,5.035,0.8988,50.2,ok
1,9,5,5.0375,0.8988,49.4,ok
1,10,1,5.0372,0.8988,49.9,ok
1,10,2,4.8322,0.9016,50.9,ok
1,10,3,4.7317,0.9124,55.7,ok
1,10,4,5.0385,0.8986,50.5,ok
1,10,5,4.7522,0.9066,49.1,ok
1,11,1,4.6877,0.9134,49.8,ok
1,11,2,4.7521,0.903,53.0,ok
1,11,3,5.0324,0.8996,51.6,ok
1,11,4,4.6803,0.9143,52.8,ok
1,11,5,5.0352,0.899,57.2,ok
1,12,1,4.7353,0.9071,51.7,ok
1,12,2,5.0385,0.8985,49.6,ok
1,12,3,4.6845,0.9151,56.5,ok
1,12,4,4.6863,0.9048,53.3,ok
1,12,5,4.6725,0.909,54.6,ok
1,13,1,5.0374,0.8986,53.6,ok
1,13,2,5.0371,0.8988,51.4,ok
1,13,3,4.6317,0.919,49.5,ok
1,13,4,5.0396,0.8988,53.8,ok
1,13,5,5.0374,0.8988,49.5,ok
1,14,1,4.5901,0.9112,53.1,ok
1,14,2,4.6103,0.9082,57.0,ok
1,14,3,5.0382,0.8989,56.2,ok
1,14,4,5.0348,0.8992,68.0,ok
1,14,5,4.5819,0.9156,69.8,ok
1,15,1,5.0372,0.8987,62.5,ok
1,15,2,5.0358,0.8999,55.8,ok
1,15,3,4.5229,0.9167,52.8,ok
1,15,4,5.055,0.8981,59.3,ok
1,15,5,4.5522,0.9126,52.5,ok
3,14,3,4.5807,0.9037,409.3,ok
3,14,4,4.5726,0.9242,318.9,ok
3,14,5,4.1923,0.919,201.7,ok
3,15,1,4.4047,0.9252,247.7,ok
3,15,2,,,,failed
3,15,3,4.4375,0.9118,385.1,ok
3,15,4,4.264,0.9295,753.1,ok
3,15,5,4.3384,0.9166,473.3,ok
4,1,1,5.0401,0.8987,783.1,ok
4,1,2,5.0363,0.8997,744.7,ok
4,1,3,5.0242,0.8989,386.3,ok
4,1,4,5.0331,0.8992,509.0,ok
4,1,5,5.0114,0.9002,331.4,ok
4,2,1,5.0377,0.8994,270.3,ok
4,2,2,5.0069,0.8988,253.9,ok
4,2,3,5.0222,0.8975,338.3,ok
4,2,4,5.0321,0.8991,250.9,ok
4,2,5,4.9399,0.9033,220.3,ok
4,3,1,5.036,0.899,333.2,ok
4,3,2,5.0401,0.8968,282.7,ok
4,3,3,5.0378,0.8988,448.6,ok
4,3,4,5.0586,0.896,320.7,ok
4,3,5,5.0158,0.9006,285.5,ok
4,4,1,5.0367,0.8984,367.9,ok
4,4,2,5.0343,0.8986,385.8,ok
4,4,3,5.0442,0.8982,371.3,ok
4,4,4,4.9555,0.9029,249.6,ok
4,4,5,5.0142,0.8989,316.1,ok
4,5,1,4.9813,0.8976,244.1,ok
4,5,2,4.9965,0.8953,306.9,ok
4,5,3,4.9685,0.8995,298.9,ok
4,5,4,4.9102,0.9051,276.1,ok
4,5,5,4.9339,0.9014,215.9,ok
4,6,1,5.0313,0.8932,268.9,ok
4,6,2,4.795,0.9101,201.7,ok
4,6,3,4.8589,0.9076,242.5,ok
4,6,4,4.822,0.9066,183.6,ok
4,6,5,4.9935,0.9006,396.0,ok
4,7,1,5.0402,0.8982,392.1,ok
4,7,2,4.6552,0.9161,253.5,ok
4,7,3,4.8512,0.9042,199.3,ok
4,7,4,1000000000.0,0.5,87.5,ok
4,7,5,5.0031,0.9041,224.9,ok
4,8,1,4.8975,0.9037,270.9,ok
4,8,2,4.6526,0.9141,219.2,ok
1,20,1,4.608,0.9133,81.0,ok
1,20,2,4.4752,0.9131,57.7,ok
1,20,3,4.4743,0.9216,62.1,ok
1,20,4,4.4312,0.9108,58.7,ok
1,20,5,4.5334,0.9034,64.1,ok
1,25,1,5.0426,0.9002,74.8,ok
1,25,2,5.0381,0.8986,65.2,ok
1,25,3,4.4641,0.9284,80.1,ok
1,25,4,5.0364,0.8984,72.9,ok
1,25,5,4.4505,0.9156,66.1,ok
2,20,1,4.6305,0.9139,100.0,ok
2,20,2,5.0011,0.9075,107.7,ok
2,20,3,4.5881,0.9191,195.3,ok
2,20,4,4.5792,0.909,240.4,ok
2,20,5,4.4727,0.9274,405.5,ok
