nh,param_bound,run,val_nll,auc,time_sec,status
1,1,1,5.0371,0.8988,46.4,ok
1,1,2,5.037,0.8988,48.7,ok
1,1,3,5.0369,0.8988,47.9,ok
1,1,4,5.0302,0.8986,47.8,ok
1,1,5,5.0379,0.8987,45.8,ok
1,2,1,4.9318,0.9036,48.7,ok
1,2,2,5.0372,0.8988,47.7,ok
1,2,3,5.0373,0.8991,47.9,ok
1,2,4,5.0357,0.8989,49.8,ok
1,2,5,4.9973,0.9001,47.8,ok
1,3,1,5.0366,0.8988,52.1,ok
1,3,2,4.8501,0.9021,48.3,ok
1,3,3,5.0389,0.899,49.3,ok
1,3,4,5.0371,0.8988,50.6,ok
1,3,5,4.9612,0.9018,48.4,ok
1,4,1,5.0143,0.8973,49.9,ok
1,4,2,5.0441,0.8991,49.7,ok
1,4,3,5.0344,0.8948,50.1,ok
1,4,4,4.7592,0.912,49.3,ok
1,4,5,5.0345,0.899,51.4,ok
1,5,1,5.0435,0.8982,54.0,ok
1,5,2,5.0549,0.8973,50.0,ok
1,5,3,4.6494,0.9128,51.1,ok
1,5,4,4.5102,0.9179,50.0,ok
1,5,5,4.5799,0.9172,51.2,ok
1,6,1,5.049,0.8973,53.5,ok
1,6,2,5.0424,0.8991,51.6,ok
1,6,3,5.0417,0.8965,54.9,ok
1,6,4,4.5238,0.9125,51.3,ok
1,6,5,4.5638,0.9066,52.7,ok
1,7,1,5.0524,0.897,51.9,ok
1,7,2,5.0587,0.8987,55.4,ok
1,7,3,5.098,0.892,50.9,ok
1,7,4,4.3647,0.9177,52.2,ok
1,7,5,5.0642,0.8994,52.8,ok
1,8,1,4.5231,0.9197,53.7,ok
1,8,2,4.3436,0.9172,54.7,ok
1,8,3,5.0372,0.8989,53.4,ok
1,8,4,4.4587,0.9162,50.8,ok
1,8,5,5.0722,0.8943,57.5,ok
1,9,1,4.3542,0.9224,51.8,ok
1,9,2,4.3083,0.9184,56.1,ok
1,9,3,4.353,0.9211,53.8,ok
1,9,4,5.1305,0.8924,54.7,ok
1,9,5,4.5555,0.9174,54.6,ok
1,10,1,4.4224,0.9197,51.1,ok
1,10,2,5.135,0.8964,57.0,ok
1,10,3,4.2172,0.9225,54.4,ok
1,10,4,5.2578,0.8819,55.8,ok
1,10,5,4.9522,0.8916,53.0,ok
2,1,1,5.0372,0.8988,58.8,ok
2,1,2,5.0373,0.8988,59.8,ok
2,1,3,5.0282,0.8999,58.1,ok
2,1,4,5.0367,0.8988,62.4,ok
2,1,5,5.0049,0.9017,60.0,ok
2,2,1,4.8853,0.9033,57.0,ok
2,2,2,4.9641,0.8997,60.5,ok
2,2,3,4.9684,0.9033,59.4,ok
